,deal_id,deal_title,deal_starts_at,deal_ends_at,deal_badge
10,82c91095,"LEVOIT Air Purifier for Home Allergies Pets Hair in Bedroom, Covers Up to 1095 ft² by 45W High Torque Motor, 3-in-1 Filter with HEPA sleep mode, Remove Dust Smoke Pollutants Odor, Core300-P, White",2024-06-13T07:00:00.000Z,2024-06-24T06:59:59.000Z,15% off
11,1b0b88c3,"Jackery Explorer 1000 Portable Power Station, 1002Wh Capacity with 3x1000W AC Outlets, Solar Generator for Home Backup, Emergency, Outdoor Camping (Solar Panel Optional)",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,40% off
12,6d1261d6,"Anker SOLIX F2000 Portable Power Station, PowerHouse 767, 2400W Solar Generator, GaNPrime Battery Generators for Home Use, LiFePO4 Power Station for Outdoor Camping, and RVs (Solar Panel Optional)",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,35% off
13,544829f9,"Beats Fit Pro - True Wireless Noise Cancelling Earbuds - Apple H1 Headphone Chip, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone, 6 Hours of Listening Time - Sage Gray",2024-06-09T07:00:00.000Z,2024-06-23T06:59:59.000Z,20% off
14,f634b447,"Lifezone Queen Bed Frame with 2-Tier Storage Headboard, Metal Platform Bed Frame with 4 Storage Drawers, Built in Charging Station & LED, Noise-Free/Metal Support/No Box Spring Needed, Vintage Brown",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,12% off
15,24700276,"VIVO Electric Height Adjustable 60 x 24 inch Memory Stand Up Desk, Black Solid One-Piece Table Top, Black Frame, Standing Workstation with Preset Controller, 1B Series, DESK-KIT-1B6B",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,15% off
16,1ec47d50,"JISULIFE Handheld Mini Fan, 3 IN 1 Hand Fan, USB Rechargeable Small Pocket Fan [12-19 Working Hours] with Power Bank, Flashlight, Portable Fan for Travel/Summer/Concerts/Lash, Gifts for Women(Pink)",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,42% off
17,bf4e195d,CUSHIONAIRE Women's Lane Cork Footbed Sandal With +Comfort,2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,40% off
18,b0af152e,LG 34GS95QE 34-inch Ultragear OLED Curved Gaming Monitor WQHD 800R 240Hz 0.03ms DisplayHDR True Black 400 AMD FreeSync Premium Pro NVIDIA G-Sync HDMI 2.1 DisplayPort Tilt/Height/Swivel Stand Black,2024-06-10T07:00:00.000Z,2024-06-24T06:59:59.000Z,42% off
19,c35752d2,"Humhold 14000 BTU Portable Air Conditioners with Remote Control, 3-in-1 Free Standing Cooling AC Unit with Fan & Dehumidifier, Cools Room up to 700 sq.ft, Smart/Sleep Mode,3 Speed,Auto Swing,24H Timer",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,24% off
20,73c3fd70,"DEWALT 20V MAX Cordless Drill and Impact Driver, Power Tool Combo Kit with 2 Batteries and Charger (DCK240C2)",2024-05-01T07:00:00.000Z,2024-07-01T06:59:59.000Z,42% off
21,16ace8ac,"Coolblus portable air conditioner,12000 BTU portable ac unit up to 550 Sq,3 IN 1 with Remote Control,White",2024-06-11T07:05:00.000Z,2024-06-18T06:55:00.000Z,16% off
22,b500e005,"VanAcc Sleeper Sofa, Sofa Bed- 2 in 1 Pull Out Couch Bed with Storage Chaise for Living Room, Sofa Sleeper with Pull Out Bed, Grey Linen Couch",2024-06-17T17:40:00.000Z,2024-06-18T05:40:00.000Z,15% off
23,8dd07828,"Dyson Outsize Cordless Vacuum Cleaner, Nickel/Red, Extra Large",2024-06-16T07:00:00.000Z,2024-06-30T06:59:59.000Z,33% off
24,e501c814,"GOOTOP Bug Zapper Outdoor Electric, Mosquito Zapper, Fly Traps, Fly Zapper, Mosquito Killer, 3 Prong Plug, 90-130V, ABS Plastic Outer (Black)",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,37% off
25,ea4191e0,"SAMSUNG T7 Portable SSD, 2TB External Solid State Drive, Speeds Up to 1,050MB/s, USB 3.2 Gen 2, Reliable Storage for Gaming, Students, Professionals, MU-PC2T0T/AM, Gray",2024-06-17T07:05:00.000Z,2024-07-01T06:59:59.000Z,37% off
26,d5a9d4c9,"JBL Boombox 3 Black Portable Bluetooth Speaker with Massive Sound, Deepest Bass, IPX7 Waterproof, 24H Playtime, PartyBoost",2024-06-17T04:00:00.000Z,2024-07-08T03:55:00.000Z,30% off
27,2bc4cedf,"JISULIFE Portable Neck Fan, Hands Free Bladeless Fan, 4000 mAh Battery Operated Wearable Personal Fan, Leafless, Rechargeable, Headphone Design,3 Speeds Gifts for Women Men-Dark Green",2024-06-17T07:00:00.000Z,2024-06-24T06:45:00.000Z,19% off
28,0b698182,"Apple Watch Series 9 [GPS 45mm] Smartwatch with Storm Blue Aluminum Case with Silver Sport Band M/L. Fitness Tracker, Blood Oxygen & ECG Apps, Always-On Retina Display",2024-06-17T19:00:00.000Z,2024-06-30T06:59:59.000Z,23% off
29,2afa0e16,"Waterpik Cordless Advanced Water Flosser For Teeth, Gums, Braces, Dental Care With Travel Bag and 4 Tips, ADA Accepted, Rechargeable, Portable, and Waterproof, White WP-580",2024-06-11T07:00:00.000Z,2024-06-19T06:59:59.000Z,31% off
